signup_year,age,tenure_months,monthly_spend_usd,discount_pct,support_tickets_90d,complaints_90d,nps_score,days_since_last_activity,late_payments_12m,visits_90d,avg_basket_usd,returns_90d,coupons_used_90d,region_Midwest,region_Northeast,region_South,region_West,customer_segment_enterprise,customer_segment_premium,customer_segment_standard,customer_segment_value,contract_type_annual,contract_type_month_to_month,contract_type_multi_year,autopay_enabled_0,autopay_enabled_1,acquisition_channel_organic,acquisition_channel_paid_search,acquisition_channel_partner,acquisition_channel_referral,acquisition_channel_sales,acquisition_channel_social,loyalty_tier_gold,loyalty_tier_none,loyalty_tier_platinum,loyalty_tier_silver,store_preference_omnichannel,store_preference_online,store_preference_store
0.4586851678232392,1.2828711596309508,-0.18374673766114452,0.34131492082456144,0.8397224914558469,1.0540540540540542,0.5900983441750995,-1.238097674054266,-0.6617387576650791,0.36933728942456917,-1.195603147814451,-0.24420482701964064,-1.599178077877296,-0.5903362552123753,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-1.4892194882513166,0.944230262729469,-0.2653471921339764,0.17316212570287096,0.7632184900650756,0.24324324324324337,-1.1929326238359925,1.5837348299705312,1.3812131116365072,-1.176083996337016,1.0272977910171976,-1.547531965176857,0.9311908138899346,0.44103324224684953,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-1.0996385570364053,1.6215120565324324,0.9178593977220857,1.450007310253019,-1.6849095544396058,0.24324324324324337,-0.004245311828597823,-0.6110237842709778,1.5292531021656077,-0.4033733534562234,-0.6769262620870664,-1.4531903642962167,0.6148947024190308,1.0598549407223845,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.4586851678232392,0.041187870992184364,1.0402600794313335,0.7150456685662662,0.5337064858927615,1.0540540540540542,0.5900983441750995,-1.5516346189459103,-0.15840278986613754,-0.01701803201582709,-0.45463616820390157,1.5436308499333933,-1.599178077877296,-1.0028840541960653,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1.6274279614679725,-1.0876151186794214,0.9586596249585017,-0.568421462340444,0.6867144886743042,-1.6486486486486487,-1.1929326238359925,0.9566609401872428,1.4700371059539674,1.1420479323053618,-0.6769262620870664,1.35095787121857,-0.9665858549354883,-0.5903362552123753,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
-0.3204766946065831,0.4362689173772464,-0.9589510551530473,-0.07482604515579956,0.38069848311121923,-0.2972972972972972,0.5900983441750995,-0.6110237842709778,1.1443491267899466,-0.01701803201582709,0.434524207328758,1.6833561636605796,-1.599178077877296,-0.5903362552123753,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.7100576258214942,0.6055893658279873,1.2850614428498293,1.104922060795319,-0.4608455321872651,-0.02702702702702693,0.5900983441750995,-0.9245607291626219,-0.2472267841835978,-1.176083996337016,-0.23234607432073667,0.6734438722951344,-0.01769752052277684,-1.4154318531797552,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-1.0996385570364053,-0.2410128764257171,0.5506573525943423,-1.4037539538586838,0.9162264928466178,0.5135135135135136,1.1844420001787968,-1.238097674054266,0.37454117603862414,-0.7897286748966197,0.06404071752348318,0.44195368863647083,-1.2828819664063922,1.0598549407223845,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-0.7100576258214942,-0.41033332487645796,-1.2445526458079588,1.519277333376158,-1.0728775433134354,1.0540540540540542,1.7787856561824942,0.6431239952955987,0.7002291552026452,-0.4033733534562234,-0.1582493763596817,1.1060021903417006,-0.9665858549354883,-0.3840623557205303,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.2378470302530615,1.2264310101473703,1.0810603066677495,1.536873853750618,-1.3788935488765208,0.24324324324324337,0.5900983441750995,-0.2974868393793337,1.618077096483068,-0.4033733534562234,1.0272977910171976,1.3719042002246684,-1.2828819664063922,1.4724027397060744,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
