signup_year,age,tenure_months,monthly_spend_usd,discount_pct,autopay_enabled,support_tickets_90d,complaints_90d,nps_score,days_since_last_activity,late_payments_12m,stays_12m,avg_nightly_rate_usd,review_rating,reward_points_balance,cancellations_12m,region,customer_segment,contract_type,acquisition_channel,membership_level
0.06978105986770053,-1.6814803440514967,-0.8615853844110671,1.3064520695053081,-1.7115537825800708,0.8534606386520674,-1.1095394723170562,-0.044691575091447285,1.225558665154436,-0.7123027145000962,-1.5400096718030247,1.3166376066015257,0.598625742948471,-0.1425748976316445,0.5766658500070115,1.1179565557138686,Northeast,value,month_to_month,referral,gold
-0.31585111308517827,0.15674121313510775,-0.6192780166619584,-0.893081908663298,-0.1130379082557886,-1.171700198827415,-1.383983864762971,-0.6703736263717076,-0.99039611685912,1.6829269333493924,1.1833758530696925,-0.47683632239082274,0.4548629574046384,-0.3180516947167451,-0.0992798322006279,1.5489264991740108,Midwest,premium,multi_year,sales,gold
0.45541323282057933,0.9035187207421658,0.8345661898326944,-1.4785064068149716,1.1657747912036374,0.8534606386520674,1.0860156672502634,-1.2960556776519678,-1.6235260545772787,-1.0967222876117424,-0.7618995218393912,-1.373573286886997,-0.10937961348591708,-1.1954356801422492,-1.2679318773926211,-1.467863105046984,Midwest,enterprise,multi_year,organic,elite
0.45541323282057933,-1.5091470730652525,-0.821200823119549,1.0149900988802978,0.9259974100549951,-1.171700198827415,-1.383983864762971,-1.2960556776519678,0.9089936962953564,-0.4757368233544677,0.01621062812424231,-0.17792400089209798,-1.438350571415105,1.436716276134263,-0.04649343331555271,-0.17495327466655763,Northeast,value,annual,paid_search,elite
-1.4727476319438146,0.21418563679718913,0.5922588220835856,0.7335671287575115,0.5263684414739243,-1.171700198827415,-0.5606506874252262,1.2066725274690733,-1.3069610857181995,-1.274146705970964,-0.37284444685757445,0.41990064210535155,-1.0372910645556601,0.559332290708759,0.9676534789580916,-0.17495327466655763,Midwest,enterprise,annual,social,elite
-1.4727476319438146,0.7886298734180031,-0.1346632811637408,-1.0039889618307256,-1.791479576296285,-1.171700198827415,-0.011761902533396313,-0.044691575091447285,0.5924287274362771,1.3576488330241532,0.7943207780878758,-0.47683632239082274,1.16638329637066,0.7348090877938597,-0.4149990238015184,1.5489264991740108,West,enterprise,annual,paid_search,gold
-1.0871154589909358,1.4779629573629798,0.02687496400233174,0.7504826607392806,-1.4717764014314285,0.8534606386520674,-1.658428257208886,-1.2960556776519678,1.225558665154436,-1.599424806296203,0.4052657031060591,-1.5230294476363593,-1.353112245022979,-0.3180516947167451,-0.535674041696171,-0.17495327466655763,South,value,annual,organic,basic
-1.4727476319438146,-1.107036107430683,0.6326433833751037,-0.3264115872740209,0.7661458226225668,0.8534606386520674,1.6349044521420935,0.580990476188813,-1.3069610857181995,-1.126293024004946,1.1833758530696925,0.8682691243534386,-0.5272670992155599,-0.8444820859720477,0.8790385616301991,1.1179565557138686,South,value,multi_year,sales,basic
0.06978105986770053,-1.3942582257410898,-0.7808162618280309,1.3462771154536914,1.645329553500922,-1.171700198827415,-0.28620629497931127,-0.6703736263717076,0.27586375857719764,-0.8305856600729105,-1.150954596821208,-0.02846784014273559,-1.319324475437647,-0.3180516947167451,0.2241617611841527,-1.036893161586842,Northeast,enterprise,annual,paid_search,gold
-0.31585111308517827,0.041852365810944966,-0.1346632811637408,-0.0763926700043457,-0.1130379082557886,-1.171700198827415,-1.1095394723170562,-0.044691575091447285,-0.99039611685912,0.7070926323736748,-1.150954596821208,0.5693568028547139,-1.457287539804283,-0.3180516947167451,-0.080623308852117,1.5489264991740108,Northeast,value,annual,paid_search,none
-0.31585111308517827,-1.7389247677135782,-1.5885074876583936,1.4984433574983915,1.5654037597847077,0.8534606386520674,1.3604600596961784,1.8323545787493336,1.225558665154436,-1.0967222876117424,0.7943207780878758,0.41990064210535155,0.2630767230223555,1.436716276134263,0.6764575521718467,-0.17495327466655763,Midwest,value,multi_year,organic,none
0.8410454057734581,-0.3028141761615434,-0.29620152632981334,1.0568744269829833,0.5263684414739243,-1.171700198827415,-1.383983864762971,-0.6703736263717076,-1.6235260545772787,1.4759317785969674,-1.5400096718030247,0.27044448135598914,-0.1299422612959763,0.38385549362365806,0.4390757746005107,-0.17495327466655763,South,premium,annual,organic,basic
0.8410454057734581,-0.18792532883738058,-0.053894158580704524,1.1136885507043615,0.7661458226225668,0.8534606386520674,-0.5606506874252262,-0.044691575091447285,0.9089936962953564,1.4759317785969674,1.1833758530696925,-0.17792400089209798,-0.9980990093279405,-0.4935284918018461,-1.5909309671631677,-0.6059232181266998,Midwest,enterprise,month_to_month,organic,elite
0.45541323282057933,-0.9921472601065201,0.47110513820903116,-1.0739677821813935,0.9259974100549951,0.8534606386520674,-0.8350950798711412,-0.044691575091447285,0.5924287274362771,0.17481937729601066,-0.37284444685757445,-0.32738016164146033,-1.5668671202279747,1.6999314717619147,1.4383631300219746,-0.17495327466655763,South,premium,annual,organic,gold
-1.4727476319438146,0.9035187207421658,-1.5885074876583936,0.2951974401603944,-1.1520732265665719,0.8534606386520674,1.0860156672502634,-0.6703736263717076,-0.040701210281881776,-1.333288178757371,1.1833758530696925,-1.2241171261376347,-1.0023609256475468,0.8225474863364102,-0.13226776292626574,-1.036893161586842,West,enterprise,multi_year,referral,basic
-0.31585111308517827,-1.2219249547548456,1.4807191704969844,0.8754001871350869,1.1657747912036374,-1.171700198827415,-0.8350950798711412,0.580990476188813,-1.3069610857181995,0.08610716811639998,-0.37284444685757445,0.27044448135598914,-0.11302640786248734,-0.4935284918018461,-0.44560314473434726,0.6869866122537266,South,enterprise,annual,paid_search,elite
0.06978105986770053,-1.107036107430683,-1.709661171532948,-0.5388118323320653,-1.791479576296285,-1.171700198827415,-0.28620629497931127,1.8323545787493336,-1.3069610857181995,1.032370732698914,1.5724309280515092,-0.626292483140185,1.6333487256982435,0.9980242834215107,0.37214353437008413,1.5489264991740108,West,standard,annual,social,basic
0.8410454057734581,-0.3028141761615434,-1.2250464360347304,0.5144006709067592,1.085848997487423,-1.171700198827415,1.6349044521420935,0.580990476188813,-1.6235260545772787,1.2097951510581353,-0.7618995218393912,1.4660937673508883,-0.7723053189520983,1.1735010805066117,-1.1267161272114288,1.1179565557138686,South,enterprise,month_to_month,referral,none
0.45541323282057933,0.041852365810944966,-1.5077383650753573,1.0793058933066342,0.9259974100549951,-1.171700198827415,-1.1095394723170562,-0.044691575091447285,1.5421236340135154,-1.4220003879369816,0.4052657031060591,1.1671814458521634,1.0822873393013155,-0.9322204845145982,-0.04994781636860522,-0.17495327466655763,Midwest,standard,annual,organic,elite
1.2266775787263369,1.2481852627146541,-0.25581696503829515,-1.4420276943673296,1.645329553500922,-1.171700198827415,0.8115712748043485,1.2066725274690733,-0.99039611685912,-0.6235905053204855,-0.7618995218393912,-1.0746609653882722,0.6412009688628881,1.612193073219364,-0.452283521878267,-1.036893161586842,Northeast,value,annual,sales,elite
0.06978105986770053,0.3865189077834333,-0.3769706489128496,1.6827123374128408,0.2865910603252821,-1.171700198827415,0.5371268823584335,1.2066725274690733,0.27586375857719764,-0.4757368233544677,1.5724309280515092,-0.9252048046389099,0.5722633739612156,-0.5812668903443966,0.2986451114768305,-0.6059232181266998,South,premium,month_to_month,social,none
0.06978105986770053,-0.07303648151321782,-0.45773977149588585,-1.4569942628816344,-1.2319990202827862,0.8534606386520674,1.6349044521420935,1.2066725274690733,-0.040701210281881776,1.3576488330241532,-0.37284444685757445,1.3166376066015257,0.6194959517300481,0.8225474863364102,0.5554684994541892,-1.036893161586842,Northeast,value,annual,organic,basic
0.8410454057734581,0.5588521787696775,-0.25581696503829515,1.0537487308559172,0.9259974100549951,-1.171700198827415,0.8115712748043485,-1.2960556776519678,1.225558665154436,-0.9488686056457247,-1.150954596821208,0.5693568028547139,-1.0200237128690077,0.47159389216620856,0.0626622162988794,0.6869866122537266,West,value,month_to_month,sales,basic
