signup_year,age,tenure_months,monthly_spend_usd,discount_pct,autopay_enabled,support_tickets_90d,complaints_90d,nps_score,days_since_last_activity,late_payments_12m,avg_balance_usd,products_count,mobile_logins_30d,overdrafts_12m,branch_visits_90d,region,customer_segment,contract_type,acquisition_channel,account_type
0.0,-1.7966787258853518,-0.3494739719331978,1.362512317033996,0.0,0.6430942968465128,0.0,0.0,-0.5755822518046717,0.0,0.0,0.31290573383473075,-0.912483014293215,-1.0345981706639544,0.0,0.0,France,Male,annual,organic,checking
0.0,2.2698252443038442,-1.386928511175091,1.5154723145262248,0.0,0.6430942968465128,0.0,0.0,0.39818244964433985,0.0,0.0,-1.2235741079301021,0.7994926222794213,0.966558832554526,0.0,0.0,Spain,Female,annual,organic,checking
0.0,-0.7564102683950924,-1.386928511175091,0.038955245253851495,0.0,0.6430942968465128,0.0,0.0,1.6930823185924935,0.0,0.0,0.6823212569559797,-0.912483014293215,-1.0345981706639544,0.0,0.0,France,Male,annual,organic,checking
0.0,-1.7966787258853518,0.3421623875613977,1.6714441154910409,0.0,0.6430942968465128,0.0,0.0,0.7400360150466524,0.0,0.0,-1.2235741079301021,0.7994926222794213,-1.0345981706639544,0.0,0.0,France,Male,annual,organic,checking
0.0,-1.9858184454290353,-0.3494739719331978,-0.8993835980123895,0.0,0.6430942968465128,0.0,0.0,0.905783198272016,0.0,0.0,-1.2235741079301021,0.7994926222794213,0.966558832554526,0.0,0.0,France,Male,annual,organic,checking
0.0,-0.5672705488514089,1.379616926803291,-1.7119689408355554,0.0,0.6430942968465128,0.0,0.0,1.268355161577499,0.0,0.0,-1.2235741079301021,0.7994926222794213,0.966558832554526,0.0,0.0,France,Male,annual,organic,checking
0.0,-0.7564102683950924,0.6879805673086955,0.05596439753201967,0.0,-1.5549819130780913,0.0,0.0,0.2117168685158057,0.0,0.0,-0.5614135908642695,-0.912483014293215,0.966558832554526,0.0,0.0,France,Female,annual,organic,checking
0.0,-1.5129691465698265,0.3421623875613977,1.2220418518128693,0.0,-1.5549819130780913,0.0,0.0,0.1702800727094648,0.0,0.0,0.9585716534453251,0.7994926222794213,-1.0345981706639544,0.0,0.0,Spain,Female,annual,organic,checking
0.0,0.00014860977964169524,-0.003655792185900041,1.4273104801979912,0.0,-1.5549819130780913,0.0,0.0,0.1081248789999534,0.0,0.0,-1.2235741079301021,0.7994926222794213,-1.0345981706639544,0.0,0.0,France,Male,annual,organic,checking
0.0,0.37842804886700876,1.379616926803291,-0.614469461336072,0.0,0.6430942968465128,0.0,0.0,0.905783198272016,0.0,0.0,0.718895341632893,0.7994926222794213,-1.0345981706639544,0.0,0.0,Germany,Male,annual,organic,checking
0.0,0.37842804886700876,-1.732746690922389,-0.6961329928417918,0.0,0.6430942968465128,0.0,0.0,0.5121336381117774,0.0,0.0,-1.2235741079301021,0.7994926222794213,-1.0345981706639544,0.0,0.0,Spain,Female,annual,organic,checking
